question,answer
"Can airlines invoke Montreal Convention to limit inconvenience liability?","Montreal Convention sets minimum standards. Local laws may provide additional protections beyond the treaty."
"What if baggage lost during ground stops or diversions?","Airlines remain liable for baggage in their custody regardless of operational diversions or stops."
"How does Montreal Convention apply to refugee documents?","Immigration status doesn't affect Montreal Convention coverage for passengers on qualifying international flights."
"What if airlines lose wedding dresses or formal wear?","Special occasion clothing is covered under Montreal Convention, though timing may affect replacement cost calculations."
"Can passengers get Montreal Convention compensation for generic replacements?","Compensation should reflect reasonable replacement costs, which may include brand considerations for specific items."
"What if baggage delayed due to passenger name mismatches?","Name mismatch delays may be passenger responsibility, potentially reducing airline liability for resulting baggage delays."
"How does Montreal Convention handle research materials?","Research materials are covered, though passengers should consider special handling and declared value for irreplaceable items."
"What if baggage lost during passenger medical emergencies?","Medical emergencies don't eliminate baggage liability, though they may affect timing and damage calculations."
"Can passengers claim Montreal Convention for lost duty-free purchases?","Duty-free items in checked baggage are covered under Montreal Convention like other baggage contents."
"What if baggage damaged during aircraft de-icing?","Ground service damage to baggage is typically airline liability under Montreal Convention custody rules."
"How does Montreal Convention apply to evacuation flights?","Emergency evacuation circumstances may affect service levels but don't eliminate basic liability protections."
"What if airlines refuse baggage transport for security?","Security-based refusals may be justified, but airlines should provide clear explanations and alternative solutions when possible."
"Does EU261 apply to flights between EU and UK post-Brexit?","EU261 still applies to flights from EU to UK, but UK-EU flights follow UK regulations with similar protections."
"What if passengers book error fares and flights cancelled?","Error fares don't exempt airlines from EU261 obligations unless contracts are void under applicable law."
"Can passengers claim EU261 for cybersecurity incident delays?","Cybersecurity incidents may qualify as extraordinary circumstances depending on the nature and airline's response."
"What if flights delayed due to environmental protests?","Environmental protests disrupting airport operations are typically considered extraordinary circumstances."
"Does EU261 apply to non-EU airlines departing from EU?","Yes, EU261 applies to all flights departing from EU airports regardless of the airline's country of origin."
"What if passengers denied boarding due to COVID health requirements?","Health requirement denials may not qualify for denied boarding compensation if passengers failed to meet entry requirements."
"Can airlines invoke force majeure to avoid EU261?","Force majeure events may qualify as extraordinary circumstances, but airlines must prove the specific event caused the disruption."
"What if passengers have open tickets without reservations?","EU261 typically requires confirmed reservations. Open tickets may have different protection levels."
"Does EU261 cover wet lease flights?","The airline providing the service (wet lease operator) is typically responsible for EU261 compliance."
"What if passengers traveling on staff standby tickets?","Reduced fare tickets may have limited EU261 protection, depending on the specific ticket conditions."
"Can passengers claim EU261 if missing flight due to security?","No, if passengers miss flights due to their own late arrival (even from security), airlines aren't liable for compensation."
"What if airline claims EU261 delay due to operational reasons?","Vague 'operational reasons' are insufficient. Airlines must provide specific explanations to claim extraordinary circumstances."
"Does EU261 apply to flights booked with miles?","Yes, EU261 applies to award tickets booked with miles, as passengers still have confirmed reservations."
"What if passengers traveling on EU261 group bookings?","Each passenger in a group booking has individual EU261 rights and can claim compensation separately."
"Can airlines avoid EU261 claiming air traffic control delays?","ATC delays may be extraordinary circumstances, but airlines must prove the specific delay was beyond their control."
"What if EU261 flights delayed due to previous aircraft late?","Aircraft rotation delays are typically the airline's responsibility unless the initial delay was due to extraordinary circumstances."
"Does EU261 cover passengers bumped to next day?","Being bumped to the next day typically qualifies as either cancellation or denied boarding, both covered by EU261."
"What if airlines claim EU261 delays due to crew scheduling?","Crew scheduling problems are generally the airline's responsibility and don't qualify as extraordinary circumstances."
"Can passengers claim EU261 for partial flight disruptions?","If the overall journey is delayed 3+ hours to the final destination, compensation applies regardless of individual segment performance."
"What if passengers voluntarily change EU261 flights due to delays?","Voluntary changes may affect compensation rights. Passengers should document original flight delays before making changes."
"Does EU261 apply during national emergencies?","National emergencies may qualify as extraordinary circumstances, exempting airlines from compensation obligations."
"What if EU261 airlines offer lounge access instead of hotels?","Airlines must provide appropriate accommodation. Lounge access overnight is generally insufficient for care obligations."
"Can passengers claim EU261 for medical emergency delays?","Medical emergencies are typically extraordinary circumstances, exempting airlines from delay compensation."
"What if EU261 flights delayed due to fueling problems?","Routine fueling delays are the airline's responsibility. Fuel shortage due to external factors may be extraordinary."
"Does EU261 apply to codeshare flights by non-EU airlines?","The operating airline's obligations apply. Non-EU operators on EU routes must comply with EU261."
"What if passengers miss EU261 connections due to airport layout?","If minimum connection times are met, missed connections due to airport issues may not be the airline's responsibility."
"Can airlines reduce EU261 compensation claiming passenger contribution?","Airlines cannot reduce EU261 compensation based on passenger actions unless passengers caused the specific delay."
"What if EU261 flights delayed due to customs issues?","Government-imposed delays for security, customs, or immigration are typically extraordinary circumstances."
"Does EU261 apply to passengers with special assistance needs?","Yes, passengers with disabilities have the same EU261 rights, with additional protections under accessibility regulations."
"What if airlines claim force majeure during busy periods?","High demand alone isn't force majeure. Airlines must prove specific external events beyond their control caused delays."
"Can passengers claim EU261 for emotional distress?","EU261 provides standardized compensation only. Emotional distress claims require separate legal action under national tort law."
"What if airlines reschedule EU261 flights weeks in advance?","Advance rescheduling may not qualify as cancellation if passengers receive adequate notice and alternative transport."
"Does EU261 cover technical malfunctions discovered pre-flight?","Technical malfunctions are airline responsibility. Pre-flight discovery doesn't change compensation obligations for resulting delays."
"What if passengers denied EU261 boarding due to weight restrictions?","Weight restriction denials may qualify for denied boarding compensation if not due to passenger non-compliance."
"Can airlines invoke EU261 extraordinary circumstances for pilot shortages?","Pilot shortages due to airline planning are typically not extraordinary circumstances unless caused by external factors."
"What if EU261 flights delayed due to aircraft cleaning?","Routine cleaning delays are airline responsibility. Enhanced cleaning for health requirements may be evaluated case-by-case."
"Does EU261 apply when passengers upgrade using points?","Upgraded passengers retain EU261 rights based on their confirmed booking, regardless of upgrade method."
"What if airlines offer EU261 compensation in installments?","Airlines can propose payment terms, but passengers generally have the right to immediate full compensation."
"Can passengers claim EU261 for drone incident delays?","Drone incidents disrupting flights are typically extraordinary circumstances beyond airline control."
"What if EU261 flights delayed due to de-icing procedures?","Routine de-icing is airline responsibility. Extreme weather requiring extensive de-icing may be extraordinary circumstances."
"Does EU261 apply to interline tickets?","Each segment is evaluated separately based on the operating airline and applicable regulations."
"What if airlines claim EU261 delays due to slot restrictions?","Slot restrictions are part of normal airline operations and generally don't qualify as extraordinary circumstances."
"Can passengers claim EU261 for aircraft maintenance delays?","Scheduled maintenance delays are airline responsibility. Emergency maintenance may involve extraordinary circumstances evaluation."
"What if EU261 flights delayed due to disruptive passengers?","Disruptive passengers causing delays are typically extraordinary circumstances beyond airline control."
"Does EU261 cover passengers rerouted through different cities?","Rerouting compensation depends on total delay to final destination and whether rerouting was due to extraordinary circumstances."
"What if airlines claim EU261 computer system failures extraordinary?","IT system failures are generally airline responsibility unless caused by external cyberattacks or infrastructure failures."
"Can passengers claim EU261 for airport construction delays?","Airport construction delays may be extraordinary circumstances if they significantly disrupt normal operations unexpectedly."
"What if EU261 flights delayed due to bird inspection?","Safety inspections following bird strikes are necessary and typically qualify as extraordinary circumstances."
"Does EU261 apply to wet lease flights during peak seasons?","Wet lease arrangements don't change passenger rights. The marketing airline typically remains responsible for EU261 compliance."
"What if EU261 airlines offer alternative transport by bus?","Airlines can offer alternative transport, but it must be reasonable. Passengers retain compensation rights for significant delays."
"Can US airlines deny boarding due to weight restrictions?","Weight restrictions may not qualify for denied boarding compensation if due to passenger safety requirements."
"Can US airlines involuntarily downgrade without compensation?","Airlines must refund the fare difference for involuntary downgrades and may owe additional compensation."
"What if US flights diverted to Canadian airports?","Diversions for safety don't trigger compensation, but airlines must provide care and transport to final destinations."
"How does US DOT regulate disabled passenger treatment?","DOT has specific Air Carrier Access Act rules requiring accommodation and prohibiting discrimination."
"What if US airlines cancel flights due to crew scheduling?","Crew problems don't trigger specific compensation, but passengers retain refund and rebooking rights."
"Can passengers get US compensation for emotional support animal denials?","New DOT rules allow airlines to treat emotional support animals as pets, potentially requiring fees."
"What if US airlines lose passenger medication in baggage?","Airlines are liable for baggage contents up to liability limits, with possible higher liability for declared valuable items."
"How does US DOT handle price discrimination complaints?","DOT prohibits unfair and deceptive practices but generally allows dynamic pricing based on market conditions."
"What if US passengers removed for dress code violations?","Airlines can enforce reasonable dress codes, but removal may trigger denied boarding compensation if involuntary."
"Can US airlines charge unaccompanied minor service fees?","Yes, airlines can charge reasonable fees for unaccompanied minor services, which must be disclosed in advance."
"How do passengers file US DOT complaints against airlines?","Passengers can file complaints through the DOT Aviation Consumer Protection website or mail."
"What evidence needed for US DOT denied boarding claims?","Passengers need boarding passes, tickets, and documentation of the delay to their final destination."
"Can passengers sue airlines in addition to DOT complaints?","Yes, passengers can pursue both DOT complaints and private legal action, though remedies may overlap."
"What if US airlines refuse to pay denied boarding compensation?","Passengers can file DOT complaints and may pursue small claims court or other legal remedies."
"How long do US airlines have to pay denied boarding compensation?","Airlines should pay involuntary denied boarding compensation at the airport or within 24 hours."
"What if US passengers don't speak English during denied boarding?","Airlines must make reasonable efforts to communicate rights and compensation in understandable ways."
"Can passengers get punitive damages for US DOT violations?","DOT violations typically result in regulatory fines. Punitive damages require separate legal action proving misconduct."
"What if US airlines claim passengers contributed to denied boarding?","Airlines must prove passengers violated reasonable rules. Arbitrary denials may still trigger compensation."
"How does US DOT handle airline merger disruption complaints?","DOT may investigate if mergers cause systematic passenger protection violations or unfair practices."
"What if US passengers traveling on codeshare flights?","The operating airline is typically responsible for DOT compliance, regardless of which airline sold the ticket."
"Can US airlines deny boarding to intoxicated passengers?","Yes, airlines can deny boarding for safety reasons including intoxication, typically without compensation obligations."
"What if US flights delayed due to air traffic control?","ATC delays are beyond airline control and don't trigger compensation, but airlines must provide customer service."
"How does US DOT regulate airline advertising practices?","DOT requires airlines to advertise total prices including mandatory fees and prohibits deceptive practices."
"What if US passengers bumped due to aircraft substitution?","Aircraft changes that reduce capacity may trigger denied boarding compensation if passengers are involuntarily bumped."
"Can US airlines charge for wheelchairs and assistive devices?","No, airlines must transport wheelchairs and assistive devices free of charge under disability accommodation rules."
"What if US airlines lose car seats or strollers?","Airlines are liable for lost car seats and strollers under standard baggage liability rules."
"How does US DOT handle airline fee transparency complaints?","DOT requires clear fee disclosure and can fine airlines for hiding mandatory charges until late in booking."
"What if US passengers miss flights due to security delays?","Security delays are generally not airline responsibility, and missed flights typically don't trigger compensation."
"Can US airlines involuntarily rebook on partner airlines?","Airlines can rebook on partners, but denied boarding compensation still applies if arrival is significantly delayed."
"What if US passengers denied boarding for not checking in online?","Reasonable check-in requirements are enforceable, but airlines must clearly communicate requirements and deadlines."
"How does US DOT regulate loyalty program changes?","DOT can investigate if program changes constitute unfair or deceptive practices affecting passenger rights."
"What if US airlines cancel flights due to pilot strikes?","Pilot strikes don't trigger specific compensation, but passengers retain refund and rebooking rights."
"Can passengers get US compensation for missed cruises due to delays?","Airlines are only liable for direct costs. Consequential damages like missed cruises require separate insurance or legal action."
"What if US airlines charge seat fees on overbooked flights?","Seat assignment fees are generally allowed, but involuntary denied boarding may trigger compensation regardless."
"How does US DOT handle airline customer service response complaints?","DOT requires airlines to respond to written complaints within 30 days but doesn't regulate response quality."
"What if US passengers traveling with pets during disruptions?","Airlines must accommodate pets according to their policies, but pet-related issues don't change basic passenger rights."
"Can US airlines deny boarding for expired identification?","Yes, airlines must comply with TSA requirements and can deny boarding for invalid ID without compensation."
"What if US flights delayed due to destination customs issues?","Customs delays at destinations are beyond airline control and don't trigger US compensation requirements."
"How does US DOT regulate military personnel treatment?","Airlines must accommodate military orders and provide flexibility, but specific protections vary by carrier policy."
"What if US passengers bumped due to last-minute maintenance?","Safety-related maintenance may not trigger denied boarding compensation if truly necessary for passenger safety."
"Can US airlines charge rebooking fees during weather cancellations?","Weather is beyond airline control, so rebooking fees may apply unless waived by airline customer service policies."
"What if US airlines lose prescription medications?","Airlines are liable under baggage rules, but passengers should carry essential medications in carry-on luggage."
"How does US DOT handle airline emergency pricing complaints?","DOT can investigate if airlines engage in unfair pricing practices during declared emergencies or disasters."
"What if US passengers denied boarding due to premium cabin overbooking?","Denied boarding compensation applies regardless of cabin class, though amounts may vary based on ticket price."
"Can US airlines involuntarily separate families during overbooking?","Airlines should make reasonable efforts to seat families together, but overbooking may still trigger compensation."
"What if US flights delayed due to fueling issues?","Routine fueling delays are airline responsibility for customer service, but don't trigger specific compensation."
"How does US DOT regulate pregnant passenger treatment?","Airlines must accommodate pregnant passengers reasonably but may have policies about travel in late pregnancy."
"What if US passengers traveling on error fares?","Airlines may cancel error fare tickets, triggering refund obligations but typically not additional compensation."
"Can US airlines deny boarding for dress code violations?","Airlines can enforce reasonable dress codes, but arbitrary enforcement may trigger denied boarding compensation."
"What if US airlines lose musical instruments?","Musical instruments are covered under baggage liability, with possible higher limits for declared valuable items."
"How does US DOT handle airline schedule reliability complaints?","DOT tracks airline performance statistics but doesn't require specific compensation for chronic delays."
"What if US passengers bumped from group flights due to oversales?","Group oversales are treated the same as individual oversales for denied boarding compensation purposes."
"Can US airlines charge for meals during extended delays?","Airlines aren't required to provide free meals for delays, though many do so as customer service."
"What if US flights cancelled due to airport curfew violations?","Curfew violations may be airline responsibility if due to poor planning, but airports can impose restrictions."
"How does US DOT regulate passenger death handling during travel?","Airlines must handle passenger deaths respectfully and may have specific procedures, but compensation varies."
"What if Canadian flight cancelled due to departure weather under APPR?","Weather at departure airports is typically outside airline control, exempting airlines from compensation but not care obligations."
"Can Canadian airlines avoid APPR compensation claiming safety?","Safety-required disruptions are within airline control but required for safety, reducing compensation obligations but not eliminating them."
"What happens if passengers miss Canadian connections under APPR?","If both flights are on the same booking and the delay is within airline control, compensation applies based on total delay."
